State,Abbrev,TaxType,TopRate,TopBracketStart,TaxType_str,TaxType_str_short,fill_color,label_color
Alabama,AL,2,5.00%,$6k,,,,black
Alaska,AK,0,0.00%,$0,,,,black
Arizona,AZ,1,2.50%,$0,,,,black
Arkansas,AR,3,3.90%,$36.8k,,,,black
California,CA,3,13.30%,$1.485906m,,,,black
Colorado,CO,3,4.40%,$32.2k,,,,black
Connecticut,CT,3,6.99%,$1m,,,,black
Delaware,DE,3,6.60%,$60k,,,,black
District of Columbia,DC,3,10.75%,$1m,,,,black
Florida,FL,0,0.00%,$0,,,,black
Georgia,GA,1,5.19%,$0,,,,black
Hawaii,HI,3,11.00%,$650k,,,,black
Idaho,ID,2,5.3%,"$41,822",,,,black
Illinois,IL,1,4.95%,$0,,,,black
Indiana,IN,1,2.95%,$0,,,,black
Iowa,IA,3,3.80%,$32.2k,,,,black
Kansas,KS,3,5.58%,$46k,,,,black
Kentucky,KY,1,3.50%,$0,,,,black
Louisiana,LA,1,3.00%,$0,,,,black
Maine,ME,3,7.15%,$129.749k,,,,black
Maryland,MD,3,6.50%,$1.2m,,,,black
Massachusetts,MA,3,9.00%,$1.083150m,,,,black
Michigan,MI,1,4.25%,$0,,,,black
Minnesota,MN,3,9.85%,"$337,930",,,,black
Mississippi,MS,2,4.00%,$10k,,,,black
Missouri,MO,3,4.70%,"$41,636",,,,black
Montana,MT,3,5.65%,$127.2k,,,,black
Nebraska,NE,3,4.55%,"$49,530",,,,black
Nevada,NV,0,0.00%,$0,,,,black
New Hampshire,NH,0,0.00%,$0,,,,black
New Jersey,NJ,3,10.75%,$1m,,,,black
New Mexico,NM,3,5.90%,$347.2k,,,,black
New York,NY,3,10.90%,$25m,,,,black
North Carolina,NC,1,3.99%,$0,,,,black
North Dakota,ND,3,2.50%,"$330,275",,,,black
Ohio,OH,3,2.75%,"$26,050",,,,black
Oklahoma,OK,2,4.50%,$14.4k,,,,black
Oregon,OR,3,9.90%,$250k,,,,black
Pennsylvania,PA,1,3.07%,$0,,,,black
Rhode Island,RI,3,5.99%,"$186,450",,,,black
South Carolina,SC,3,6.00%,"$50,430",,,,black
South Dakota,SD,0,0.00%,$0,,,,black
Tennessee,TN,0,0.00%,$0,,,,black
Texas,TX,0,0.00%,$0,,,,black
Utah,UT,1,4.50%,$0,,,,black
Vermont,VT,3,8.75%,$304k,,,,black
Virginia,VA,2,5.75%,$17k,,,,black
Washington,WA,0,0.00%,$0,,,,black
West Virginia,WV,3,4.82%,$60k,,,,black
Wisconsin,WI,3,7.65%,"$443,630",,,,black
Wyoming,WY,0,0.00%,$0,,,,black
