year,rain_50m_pct,rain_nc_pct,totbal_50m_pct,totbal_nc_pct
2000,4.127,0.271,8.767,0.271
2001,4.614,1.171,7.148000000000001,1.171
2002,1.656,,2.887,0.027999999999999997
2003,0.722,1.083,2.656,2.891
2004,1.844,1.8159999999999998,5.247,3.784
2005,2.46,1.9789999999999999,9.017,5.007000000000001
2006,4.553,3.685,11.802,8.076
2007,4.739,4.215,11.328000000000001,10.758
2008,4.835,3.833,8.292,6.752
2009,2.7279999999999998,0.763,4.583,1.232
2010,1.638,0.8099999999999999,4.488,2.09
2011,1.7610000000000001,1.598,6.368,4.745
2012,2.486,2.139,7.9079999999999995,4.15
2013,3.558,3.157,9.957,4.725
2014,4.5249999999999995,3.1119999999999997,7.292999999999999,4.399
2015,4.918,4.1209999999999996,9.203999999999999,5.401
2016,5.34,7.428,9.74,10.164
2017,5.614,8.323,8.315999999999999,10.458
2018,6.548,8.129,11.725,12.504000000000001
2019,7.93,7.813000000000001,13.994000000000002,15.035000000000002
2020,8.44,4.859999999999999,12.712000000000002,10.972999999999999
2021,10.288,8.271,27.124,34.615
2022,11.484,12.081,39.507999999999996,39.861999999999995
2023,12.664,17.753,34.961999999999996,35.878
2024,14.943000000000001,16.258,29.814,23.459
2025,13.108,11.584999999999999,25.102000000000004,14.435
