state_str,state_abbrev,popestimate2024,domesticmig2025,domesticmig_pctchg2025,popestimate2023,domesticmig2024,domesticmig_pctchg2024,netdomesticmig_rank_2025,netdomesticmig_rank_2024,uhaul2025_rank,uhaul2024_rank,uhaul2023_rank,uhaul2022_rank,uvl_inbound_shipments_2025,uvl_outbound_shipments_2025,uvl_total_shipments_2025,uvl_net_pct_2025,uvl_net_pct_rank_2025,uvl_inbound_shipments_2024,uvl_outbound_shipments_2024,uvl_total_shipments_2024,uvl_net_pct_2024,uvl_net_pct_rank_2024,uvl_inbound_shipments_2023,uvl_outbound_shipments_2023,uvl_total_shipments_2023,uvl_net_pct_2023,uvl_net_pct_rank_2023
Alabama,AL,5163055,23358,0.004524065693663926,5117850,24953,0.00487568021727874,11,7,9,16,22,20,1070.0,804.0,1874.0,0.14194236926360726,9,1158.0,820.0,1978.0,0.17087967644084934,6,1262.0,852.0,2114.0,0.19394512771996217,8
Alaska,AK,736537,-4525,-0.00614361532414529,734654,-4183,-0.005693836826587754,49,48,27,27,34,41,,,,,,,,,,,,,,,
Arizona,AZ,7556424,31107,0.004116629770907509,7452073,34303,0.004603148680910668,12,9,7,6,8,7,2506.0,1926.0,4432.0,0.13086642599277978,13,2660.0,1943.0,4603.0,0.15576797740603954,10,2709.0,2339.0,5048.0,0.07329635499207607,18
Arkansas,AR,3096080,14475,0.004675266788971861,3069856,13919,0.004534088895374897,8,10,13,12,17,43,549.0,410.0,959.0,0.14494264859228362,8,558.0,407.0,965.0,0.15647668393782382,9,693.0,459.0,1152.0,0.203125,4
California,CA,39364774,-229077,-0.005819339900185887,39181667,-241611,-0.006166429825458932,47,51,50,50,50,50,7200.0,9867.0,17067.0,-0.1562664791703287,46,7301.0,10069.0,17370.0,-0.15935521013241222,45,7593.0,10286.0,17879.0,-0.1506236366687175,44
Colorado,CO,5988502,-12100,-0.002020538692314038,5912240,4995,0.0008448574482767952,42,24,23,40,9,11,2986.0,3647.0,6633.0,-0.09965324890698025,44,2960.0,3598.0,6558.0,-0.09728575785300396,39,3408.0,3597.0,7005.0,-0.026980728051391862,29
Connecticut,CT,3674449,-5945,-0.0016179296542148224,3641369,-3827,-0.0010509783545693942,40,40,42,41,42,28,783.0,902.0,1685.0,-0.07062314540059347,38,753.0,898.0,1651.0,-0.08782556026650515,38,870.0,985.0,1855.0,-0.06199460916442048,36
Delaware,DE,1050123,6855,0.006527806742638719,1035354,8040,0.007765459929647251,4,3,33,21,15,27,306.0,207.0,513.0,0.19298245614035087,4,329.0,186.0,515.0,0.27766990291262134,2,302.0,217.0,519.0,0.16377649325626203,11
District of Columbia,DC,691310,-4128,-0.005971271932996774,682559,-386,-0.0005655188782215163,48,34,,,,,517.0,391.0,908.0,0.13876651982378854,12,560.0,355.0,915.0,0.22404371584699453,4,630.0,366.0,996.0,0.26506024096385544,2
Florida,FL,23265838,22517,0.0009678138393295784,22929248,58411,0.002547445079751416,26,15,2,4,2,2,6682.0,6121.0,12803.0,0.0438178551901898,21,7493.0,6108.0,13601.0,0.10183074773913683,14,8535.0,6468.0,15003.0,0.13777244551089782,13
Georgia,GA,11204208,27333,0.0024395298623517163,11063669,25403,0.0022960737527487492,16,17,10,15,18,8,2773.0,2591.0,5364.0,0.03392990305741984,25,2939.0,2555.0,5494.0,0.06989443028758646,19,3422.0,3034.0,6456.0,0.060099132589838906,19
Hawaii,HI,1434952,-8876,-0.006185572757834408,1434950,-8486,-0.005913794905745845,50,49,28,26,25,,,,,,,,,,,,,,,,
Idaho,ID,2000872,19915,0.009953160422055983,1970497,15975,0.008107091764158992,2,2,8,10,6,10,541.0,395.0,936.0,0.15598290598290598,6,595.0,458.0,1053.0,0.13010446343779677,11,603.0,542.0,1145.0,0.05327510917030567,21
Illinois,IL,12703033,-40017,-0.003150192556376103,12633389,-53080,-0.0042015645999660105,44,47,49,45,48,49,2502.0,2978.0,5480.0,-0.08686131386861314,40,2354.0,3522.0,5876.0,-0.19877467665078286,47,2376.0,3760.0,6136.0,-0.2255541069100391,48
Indiana,IN,6934754,12197,0.0017588223028531366,6881373,6024,0.0008754066957277276,20,23,25,8,27,14,1172.0,885.0,2057.0,0.13952357802625182,11,1281.0,1034.0,2315.0,0.10669546436285098,12,1301.0,1098.0,2399.0,0.0846185910796165,15
Iowa,IA,3230454,-970,-0.0003002673927565599,3214739,-427,-0.00013282571306721946,35,30,35,23,24,21,514.0,484.0,998.0,0.03006012024048096,27,584.0,499.0,1083.0,0.07848568790397045,18,633.0,579.0,1212.0,0.04455445544554455,22
Kansas,KS,2965252,-519,-0.00017502728267277114,2949749,-4775,-0.0016187818014346306,32,41,37,32,33,39,903.0,900.0,1803.0,0.0016638935108153079,31,874.0,793.0,1667.0,0.04859028194361128,22,871.0,1060.0,1931.0,-0.09787674779906784,42
