United Van Lines 48th Annual National Movers Study,,,,,
https://www.unitedvanlines.com/newsroom/2024-national-movers-study,,,,,
"These data were taken from the ""2024 Inbound-Outbound State Rankings.pdf"" file",,,,,
,,,,,
state,uvl_total_shipments,uvl_inbound_shipments,uvl_inbound_pct,uvl_outbound_shipments,uvl_outbound_pct
Alabama,1978,1158,0.585439838,820,0.414560162
Arizona,4603,2660,0.577883989,1943,0.422116011
Arkansas,965,558,0.578238342,407,0.421761658
California,17370,7301,0.420322395,10069,0.579677605
Colorado,6558,2960,0.451357121,3598,0.548642879
Connecticut,1651,753,0.45608722,898,0.54391278
Delaware,515,329,0.638834951,186,0.361165049
District of Columbia,915,560,0.612021858,355,0.387978142
Florida,13601,7493,0.550915374,6108,0.449084626
Georgia,5494,2939,0.534947215,2555,0.465052785
Idaho,1053,595,0.565052232,458,0.434947768
Illinois,5876,2354,0.400612662,3522,0.599387338
Indiana,2315,1281,0.553347732,1034,0.446652268
Iowa,1083,584,0.539242844,499,0.460757156
Kansas,1667,874,0.524295141,793,0.475704859
Kentucky,1887,919,0.487016428,968,0.512983572
Louisiana,1644,755,0.459245742,889,0.540754258
Maine,879,436,0.496018203,443,0.503981797
Maryland,3536,1736,0.490950226,1800,0.509049774
Massachusetts,3343,1408,0.421178582,1935,0.578821418
Michigan,3430,1636,0.47696793,1794,0.52303207
Minnesota,2005,1082,0.539650873,923,0.460349127
Mississippi,1087,477,0.438822447,610,0.561177553
Missouri,2944,1495,0.5078125,1449,0.4921875
Montana,871,446,0.512055109,425,0.487944891
Nebraska,1153,512,0.444058977,641,0.555941023
Nevada,2180,1161,0.532568807,1019,0.467431193
New Hampshire,631,325,0.515055468,306,0.484944532
New Jersey,3364,1112,0.330558859,2252,0.669441141
New Mexico,1630,892,0.547239264,738,0.452760736
New York,6251,2562,0.409854423,3689,0.590145577
North Carolina,7227,4347,0.601494396,2880,0.398505604
North Dakota,583,246,0.421955403,337,0.578044597
Ohio,4587,2277,0.496402878,2310,0.503597122
Oklahoma,1744,858,0.491972477,886,0.508027523
Oregon,1890,1095,0.579365079,795,0.420634921
Pennsylvania,4323,2129,0.492482073,2194,0.507517927
Rhode Island,594,346,0.582491582,248,0.417508418
South Carolina,4213,2601,0.617374792,1612,0.382625208
South Dakota,439,207,0.471526196,232,0.528473804
Tennessee,4197,2276,0.542292113,1921,0.457707887
Texas,15967,8126,0.508924657,7841,0.491075343
Utah,1831,913,0.498634626,918,0.501365374
Virginia,8162,4507,0.55219309,3655,0.44780691
Washington,8381,4180,0.498747166,4201,0.501252834
West Virginia,401,263,0.655860349,138,0.344139651
Wisconsin,2182,1165,0.533913841,1017,0.466086159
Wyoming,494,214,0.433198381,280,0.566801619
